,count,mean,std,min,25%,50%,75%,max
B_Welterweight_rank,81,8.296296296,4.428443419,1,4,8,12,15
B_Lightweight_rank,81,8.111111111,4.126136207,1,5,8,11,15
B_Bantamweight_rank,78,8.487179487,4.415861581,0,4.25,9,12,15
B_Women's Bantamweight_rank,74,8.094594595,4.39541766,0,5,8,11.75,15
B_Women's Strawweight_rank,54,7.703703704,4.280846458,1,4,8,11,15
R_Women's Flyweight_rank,45,6.644444444,4.927453498,0,2,6,10,15
B_Women's Flyweight_rank,32,7.625,3.858380071,1,5,7,10,15
B_Pound-for-Pound_rank,28,9.5,4.16777763,2,5.75,10,14,15
R_Women's Featherweight_rank,6,0,0,0,0,0,0,0
B_Women's Featherweight_rank,0,,,,,,,
